result,gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif,home_season_3down_pct,home_3game_3down_pct,home_5game_3down_pct,away_season_3down_pct,away_3game_3down_pct,away_5game_3down_pct
loss,56635,2015,10,BUF,0.563,0.5,NYJ,0.25,0.25,1,4-4-0,0.5,0.667,5-3-0,0.625,0.75,-0.6000000000000001,4.75,-5.332999999999998,2.2,-7.375,2.375,0.0,-2.6,3.375,1.5,0.667,1.2,1.5,1.375,1.6669999999999998,1.6,1.4375,0.875,0.667,0.4,-0.6875,0.125,-1.0,-0.8,0.4375,0.438,0.447,0.443,0.375,0.417,0.354
win,56643,2015,10,NO,0.438,0.5,WAS,0.25,0.375,0,4-5-0,0.444,0.25,3-5-0,0.375,0.75,0.0,-4.625,-10.0,-6.6,-8.5625,-3.0,1.0,-1.8,-1.4375,1.75,1.6669999999999998,1.6,1.9375,1.6669999999999998,1.6669999999999998,1.8,1.875,-0.25,0.333,0.6,-0.75,-0.222,0.0,0.2,-0.8125,0.435,0.429,0.43,0.4920000000000001,0.498,0.499
loss,56637,2015,10,DET,0.688,0.5,GB,0.75,1.0,1,1-7-0,0.125,0.0,6-2-0,0.75,1.0,0.2,4.5,-6.667000000000002,1.6,8.625,-12.0,-13.667,-13.8,2.4375,0.75,0.667,1.0,0.8125,2.5,1.6669999999999998,2.4,1.25,0.75,0.333,0.6,0.875,-1.125,-1.0,-1.4,0.4375,0.34600000000000003,0.266,0.28800000000000003,0.324,0.265,0.3
win,56641,2015,10,DAL,0.75,1.0,TB,0.125,0.0,0,2-6-0,0.25,0.333,3-5-0,0.375,0.25,0.0,-6.25,-4.0,-3.8,-8.3125,-5.5,-4.667,-8.8,7.1875,1.75,1.3330000000000002,1.8,2.0625,1.625,1.6669999999999998,1.4,1.5625,0.125,1.0,0.2,-0.5,-1.125,-1.3330000000000002,-1.2,0.4375,0.39,0.502,0.4920000000000001,0.364,0.444,0.373
loss,56642,2015,10,CAR,0.469,0.438,TEN,0.125,0.125,0,8-0-0,1.0,1.0,2-6-0,0.25,0.0,0.0,-3.5,-3.667,-8.0,-11.5,7.875,7.332999999999998,8.0,-2.1875,2.125,2.0,2.2,1.625,1.5,2.333,2.0,1.4375,-0.75,-0.667,-0.8,-0.625,0.75,0.0,0.4,0.1875,0.294,0.193,0.233,0.335,0.268,0.28800000000000003
loss,56640,2015,10,CHI,0.313,0.375,STL,0.375,0.375,0,3-5-0,0.375,0.5,4-4-0,0.5,0.75,1.0,0.875,12.0,4.8,-1.875,-7.375,-1.0,0.0,-7.6875,1.25,0.667,1.2,1.6875,1.25,1.0,1.4,1.8125,0.5,1.0,1.0,-0.125,-0.125,0.667,0.0,-0.3125,0.237,0.106,0.196,0.418,0.426,0.459
loss,56638,2015,10,MIA,0.5,0.5,PHI,0.625,0.75,0,3-5-0,0.375,0.4,4-4-0,0.5,0.667,0.0,3.625,5.0,6.8,4.625,-4.375,-9.0,-2.4,0.9375,1.875,1.6669999999999998,1.8,2.3125,1.5,1.3330000000000002,1.6,1.4375,0.625,0.667,0.6,-0.5625,-0.5,-1.0,-0.4,0.125,0.299,0.332,0.338,0.294,0.246,0.259
loss,56636,2015,10,JAC,0.188,0.0,BAL,0.625,0.75,0,2-6-0,0.25,0.0,2-6-0,0.25,0.333,1.0,-3.0,-3.333,-2.0,6.6875,-8.125,-4.333,-4.6,-10.1875,1.375,1.3330000000000002,1.2,1.25,1.75,2.667,2.0,1.625,-0.875,-1.3330000000000002,-1.2,0.125,-0.875,-1.3330000000000002,-0.8,-0.375,0.34700000000000003,0.37,0.364,0.359,0.376,0.353
win,56639,2015,10,CLE,0.438,0.375,PIT,0.688,0.75,1,2-7-0,0.222,0.2,5-4-0,0.556,0.6,0.6000000000000001,2.667,-4.333,0.6,4.25,-7.778,-17.667,-10.6,-2.375,1.222,2.667,1.8,1.3125,1.889,2.0,1.8,1.4375,0.444,-0.667,0.4,0.0,-0.444,-0.333,-0.2,0.375,0.35,0.275,0.287,0.425,0.374,0.431
loss,56644,2015,10,MIN,0.438,0.25,OAK,0.188,0.375,0,6-2-0,0.75,0.5,4-4-0,0.5,0.5,0.0,0.25,6.332999999999998,2.2,-12.4375,3.5,5.0,3.6,-1.125,1.625,1.3330000000000002,1.8,1.8125,1.125,1.0,1.2,1.25,0.125,0.333,0.2,-0.9375,0.0,-1.0,-0.6,-0.0625,0.433,0.415,0.429,0.338,0.344,0.35200000000000004
