gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
55164,2011,1,NO,0.688,0.75,GB,0.625,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,9.25,0.0,0.0,0.0,4.8125
55165,2011,1,PIT,0.75,0.875,BAL,0.75,0.875,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,5.4375,0.0,0.0,0.0,8.9375
55167,2011,1,CIN,0.25,0.125,CLE,0.313,0.375,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-0.6000000000000001,0.0,0.0,0.0,-3.8125,0.0,0.0,0.0,-4.5625
55168,2011,1,IND,0.625,0.5,HOU,0.375,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.6000000000000001,0.0,0.0,0.0,-2.3125,0.0,0.0,0.0,2.9375
55169,2011,1,TEN,0.375,0.375,JAC,0.5,0.625,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.2,0.0,0.0,0.0,-4.125,0.0,0.0,0.0,1.0625
55170,2011,1,BUF,0.25,0.25,KC,0.625,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,-8.875
55166,2011,1,ATL,0.813,0.75,CHI,0.688,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,7.875
55172,2011,1,DET,0.375,0.25,TB,0.625,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-1.0,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.4375
55171,2011,1,PHI,0.625,0.75,STL,0.43799999999999994,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-2.4375,0.0,0.0,0.0,3.875
55176,2011,1,NYG,0.625,0.625,WAS,0.375,0.25,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.6000000000000001,0.0,0.0,0.0,-4.6875,0.0,0.0,0.0,2.9375
