gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif,home_season_turnovers,home_3game_turnovers,home_5game_turnovers,home_prev_season_turnovers,away_season_turnovers,away_3game_turnovers,away_5game_turnovers,away_prev_season_turnovers,home_season_turnover_dif,home_3game_turnover_dif,home_5game_turnover_dif,home_prev_season_turnover_dif,away_season_turnover_dif,away_3game_turnover_dif,away_5game_turnover_dif,away_prev_season_turnover_dif
55837,2013,1,BAL,0.625,0.5,DEN,0.813,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,3.375,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.0625,0.0,0.0,0.0,0.5625
55838,2013,1,NE,0.75,0.75,BUF,0.375,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-0.6000000000000001,0.0,0.0,0.0,-5.6875,0.0,0.0,0.0,14.125,0.0,0.0,0.0,2.125,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.8125,0.0,0.0,0.0,1.5625
55839,2013,1,SEA,0.688,0.375,CAR,0.43799999999999994,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,-1.0,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,10.4375,0.0,0.0,0.0,1.3125,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.75
55840,2013,1,CIN,0.625,0.75,CHI,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,6.125,0.0,0.0,0.0,4.4375,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.625,0.0,0.0,0.0,1.25,0.0,0.0,0.0,0.25
55841,2013,1,MIA,0.43799999999999994,0.25,CLE,0.313,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,1.0,0.0,0.0,0.0,-4.125,0.0,0.0,0.0,-1.8125,0.0,0.0,0.0,1.625,0.0,0.0,0.0,1.625,0.0,0.0,0.0,0.1875,0.0,0.0,0.0,-0.625
55842,2013,1,MIN,0.625,0.375,DET,0.25,0.25,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,-0.2,0.0,0.0,0.0,-4.0625,0.0,0.0,0.0,1.9375,0.0,0.0,0.0,2.0625,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,-0.0625
55843,2013,1,OAK,0.25,0.125,IND,0.688,0.875,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-1.875,0.0,0.0,0.0,-9.5625,0.0,0.0,0.0,1.6875,0.0,0.0,0.0,1.625,0.0,0.0,0.0,-0.75,0.0,0.0,0.0,-0.5
55844,2013,1,KC,0.125,0.125,JAC,0.125,0.125,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-11.8125,0.0,0.0,0.0,-13.375,0.0,0.0,0.0,1.5625,0.0,0.0,0.0,2.3125,0.0,0.0,0.0,-0.125,0.0,0.0,0.0,-1.5
55846,2013,1,TB,0.43799999999999994,0.5,NYJ,0.375,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-5.875,0.0,0.0,0.0,-0.3125,0.0,0.0,0.0,2.3125,0.0,0.0,0.0,1.4375,0.0,0.0,0.0,-0.875,0.0,0.0,0.0,0.1875
55845,2013,1,ATL,0.813,0.75,NO,0.43799999999999994,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.6000000000000001,0.0,0.0,0.0,0.4375,0.0,0.0,0.0,7.5,0.0,0.0,0.0,1.5,0.0,0.0,0.0,1.125,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.8125
