gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag
56901,2016,1,CAR,0.938,0.875,DEN,0.75,0.75,0
56902,2016,1,TB,0.375,0.375,ATL,0.5,0.5,1
56903,2016,1,BUF,0.5,0.375,BAL,0.313,0.375,0
56904,2016,1,CHI,0.375,0.625,HOU,0.563,0.625,0
56905,2016,1,GB,0.625,0.625,JAX,0.313,0.5,0
56906,2016,1,SD,0.25,0.125,KC,0.688,0.75,1
56907,2016,1,OAK,0.438,0.5,NO,0.438,0.5,0
56908,2016,1,CIN,0.75,0.75,NYJ,0.625,0.75,0
56909,2016,1,CLE,0.188,0.125,PHI,0.438,0.375,0
56910,2016,1,MIN,0.688,0.625,TEN,0.188,0.125,0
56911,2016,1,MIA,0.375,0.375,SEA,0.625,0.625,0
56912,2016,1,NYG,0.375,0.375,DAL,0.25,0.125,1
56913,2016,1,DET,0.438,0.375,IND,0.5,0.5,0
56914,2016,1,NE,0.75,0.625,ARI,0.813,0.75,0
56915,2016,1,PIT,0.625,0.5,WAS,0.563,0.75,0
56916,2016,1,LA,0.438,0.25,SF,0.313,0.5,1
56917,2016,2,NYJ,0.625,0.5,BUF,0.5,0.625,1
56918,2016,2,SF,0.313,0.125,CAR,0.938,1.0,0
56919,2016,2,BAL,0.313,0.25,CLE,0.188,0.25,1
56920,2016,2,TEN,0.188,0.25,DET,0.438,0.5,0
56921,2016,2,KC,0.688,0.625,HOU,0.563,0.625,0
56922,2016,2,MIA,0.375,0.375,NE,0.75,0.875,1
56923,2016,2,NO,0.438,0.375,NYG,0.375,0.375,0
56924,2016,2,CIN,0.75,0.75,PIT,0.625,0.75,1
56925,2016,2,DAL,0.25,0.375,WAS,0.563,0.75,1
56926,2016,2,TB,0.375,0.375,ARI,0.813,0.75,0
56927,2016,2,SEA,0.625,0.625,LA,0.438,0.625,1
56928,2016,2,IND,0.5,0.5,DEN,0.75,0.75,0
56929,2016,2,ATL,0.5,0.5,OAK,0.438,0.375,0
56930,2016,2,JAX,0.313,0.125,SD,0.25,0.375,0
56931,2016,2,GB,0.625,0.625,MIN,0.688,0.75,1
56932,2016,2,PHI,0.438,0.5,CHI,0.375,0.125,0
56933,2016,3,HOU,0.563,0.5,NE,0.75,0.875,0
56934,2016,3,ARI,0.813,0.875,BUF,0.5,0.625,0
56935,2016,3,MIN,0.688,0.625,CAR,0.938,1.0,0
56936,2016,3,DEN,0.75,0.75,CIN,0.75,0.75,0
56937,2016,3,DET,0.438,0.375,GB,0.625,0.625,1
56938,2016,3,BAL,0.313,0.25,JAX,0.313,0.5,0
56939,2016,3,CLE,0.188,0.125,MIA,0.375,0.375,0
56940,2016,3,WAS,0.563,0.375,NYG,0.375,0.375,1
56941,2016,3,OAK,0.438,0.5,TEN,0.188,0.125,0
56942,2016,3,SF,0.313,0.125,SEA,0.625,0.625,1
56943,2016,3,LA,0.438,0.25,TB,0.375,0.375,0
56946,2016,3,PIT,0.625,0.5,PHI,0.438,0.375,0
56944,2016,3,SD,0.25,0.125,IND,0.5,0.5,0
56945,2016,3,NYJ,0.625,0.5,KC,0.688,0.75,0
56947,2016,3,CHI,0.375,0.625,DAL,0.25,0.125,0
56948,2016,3,ATL,0.5,0.5,NO,0.438,0.5,1
56949,2016,4,MIA,0.375,0.375,CIN,0.75,0.75,0
56950,2016,4,IND,0.5,0.5,JAX,0.313,0.5,1
56951,2016,4,CAR,0.938,0.875,ATL,0.5,0.5,1
56952,2016,4,OAK,0.438,0.5,BAL,0.313,0.375,0
56953,2016,4,DET,0.438,0.375,CHI,0.375,0.125,1
56954,2016,4,TEN,0.188,0.25,HOU,0.563,0.625,1
56955,2016,4,BUF,0.5,0.375,NE,0.75,0.875,1
56956,2016,4,SEA,0.625,0.625,NYJ,0.625,0.75,0
56957,2016,4,CLE,0.188,0.125,WAS,0.563,0.75,0
56958,2016,4,DEN,0.75,0.75,TB,0.375,0.375,0
56959,2016,4,LA,0.438,0.25,ARI,0.813,0.75,1
56960,2016,4,NO,0.438,0.375,SD,0.25,0.375,0
56961,2016,4,DAL,0.25,0.375,SF,0.313,0.5,0
56962,2016,4,KC,0.688,0.625,PIT,0.625,0.75,0
56963,2016,4,NYG,0.375,0.375,MIN,0.688,0.75,0
56964,2016,5,ARI,0.813,0.875,SF,0.313,0.5,1
56965,2016,5,WAS,0.563,0.375,BAL,0.313,0.375,0
56966,2016,5,NE,0.75,0.625,CLE,0.188,0.25,0
56967,2016,5,PHI,0.438,0.5,DET,0.438,0.5,0
56968,2016,5,CHI,0.375,0.625,IND,0.5,0.5,0
56969,2016,5,TEN,0.188,0.25,MIA,0.375,0.375,0
56970,2016,5,HOU,0.563,0.5,MIN,0.688,0.75,0
56971,2016,5,NYJ,0.625,0.5,PIT,0.625,0.75,0
56972,2016,5,ATL,0.5,0.5,DEN,0.75,0.75,0
56973,2016,5,CIN,0.75,0.75,DAL,0.25,0.125,0
56974,2016,5,BUF,0.5,0.375,LA,0.438,0.625,0
56975,2016,5,SD,0.25,0.125,OAK,0.438,0.375,1
56976,2016,5,NYG,0.375,0.375,GB,0.625,0.625,0
56977,2016,5,TB,0.375,0.375,CAR,0.938,1.0,1
56978,2016,6,DEN,0.75,0.75,SD,0.25,0.375,1
56979,2016,6,SF,0.313,0.125,BUF,0.5,0.625,0
56980,2016,6,JAX,0.313,0.125,CHI,0.375,0.125,0
56981,2016,6,LA,0.438,0.25,DET,0.438,0.5,0
56982,2016,6,PIT,0.625,0.5,MIA,0.375,0.375,0
56983,2016,6,CIN,0.75,0.75,NE,0.75,0.875,0
56984,2016,6,CAR,0.938,0.875,NO,0.438,0.5,1
56985,2016,6,BAL,0.313,0.25,NYG,0.375,0.375,0
56986,2016,6,CLE,0.188,0.125,TEN,0.188,0.125,0
56987,2016,6,PHI,0.438,0.5,WAS,0.563,0.75,1
56988,2016,6,KC,0.688,0.625,OAK,0.438,0.375,1
56989,2016,6,DAL,0.25,0.375,GB,0.625,0.625,0
56990,2016,6,ATL,0.5,0.5,SEA,0.625,0.625,0
56991,2016,6,IND,0.5,0.5,HOU,0.563,0.625,1
56992,2016,6,NYJ,0.625,0.5,ARI,0.813,0.75,0
56993,2016,7,CHI,0.375,0.625,GB,0.625,0.625,1
56994,2016,7,NYG,0.375,0.375,LA,0.438,0.625,0
56995,2016,7,CLE,0.188,0.125,CIN,0.75,0.75,1
56996,2016,7,WAS,0.563,0.375,DET,0.438,0.5,0
56997,2016,7,OAK,0.438,0.5,JAX,0.313,0.5,0
56998,2016,7,NO,0.438,0.375,KC,0.688,0.75,0
56999,2016,7,BUF,0.5,0.375,MIA,0.375,0.375,1
57000,2016,7,BAL,0.313,0.25,NYJ,0.625,0.75,0
57001,2016,7,MIN,0.688,0.625,PHI,0.438,0.375,0
57002,2016,7,IND,0.5,0.5,TEN,0.188,0.125,1
57003,2016,7,SD,0.25,0.125,ATL,0.5,0.5,0
57004,2016,7,TB,0.375,0.375,SF,0.313,0.5,0
57005,2016,7,NE,0.75,0.625,PIT,0.625,0.75,0
57006,2016,7,SEA,0.625,0.625,ARI,0.813,0.75,1
57007,2016,7,HOU,0.563,0.5,DEN,0.75,0.75,0
57008,2016,8,JAX,0.313,0.125,TEN,0.188,0.125,1
57009,2016,8,WAS,0.563,0.375,CIN,0.75,0.75,0
57010,2016,8,GB,0.625,0.625,ATL,0.5,0.5,0
57011,2016,8,NE,0.75,0.625,BUF,0.5,0.625,1
57012,2016,8,NYJ,0.625,0.5,CLE,0.188,0.25,0
57013,2016,8,DET,0.438,0.375,HOU,0.563,0.625,0
57014,2016,8,KC,0.688,0.625,IND,0.5,0.5,0
57015,2016,8,SEA,0.625,0.625,NO,0.438,0.5,0
57016,2016,8,OAK,0.438,0.5,TB,0.375,0.375,0
57017,2016,8,SD,0.25,0.125,DEN,0.75,0.75,1
57018,2016,8,ARI,0.813,0.875,CAR,0.938,1.0,0
57019,2016,8,PHI,0.438,0.5,DAL,0.25,0.125,1
57020,2016,8,MIN,0.688,0.625,CHI,0.375,0.125,1
57021,2016,9,ATL,0.5,0.5,TB,0.375,0.375,1
57032,2016,9,DEN,0.75,0.75,OAK,0.438,0.375,1
57022,2016,9,PIT,0.625,0.5,BAL,0.313,0.375,1
57023,2016,9,DAL,0.25,0.375,CLE,0.188,0.25,0
57024,2016,9,JAX,0.313,0.125,KC,0.688,0.75,0
57025,2016,9,NYJ,0.625,0.5,MIA,0.375,0.375,1
57026,2016,9,DET,0.438,0.375,MIN,0.688,0.75,1
57027,2016,9,PHI,0.438,0.5,NYG,0.375,0.375,1
57028,2016,9,CAR,0.938,0.875,LA,0.438,0.625,0
57029,2016,9,NO,0.438,0.375,SF,0.313,0.5,0
57030,2016,9,IND,0.5,0.5,GB,0.625,0.625,0
57031,2016,9,TEN,0.188,0.25,SD,0.25,0.375,0
57033,2016,9,BUF,0.5,0.375,SEA,0.625,0.625,0
57034,2016,10,CLE,0.188,0.125,BAL,0.313,0.375,1
57035,2016,10,KC,0.688,0.625,CAR,0.938,1.0,0
57036,2016,10,HOU,0.563,0.5,JAX,0.313,0.5,1
57037,2016,10,DEN,0.75,0.75,NO,0.438,0.5,0
57038,2016,10,LA,0.438,0.25,NYJ,0.625,0.75,0
57039,2016,10,ATL,0.5,0.5,PHI,0.438,0.375,0
57040,2016,10,CHI,0.375,0.625,TB,0.375,0.375,0
57041,2016,10,GB,0.625,0.625,TEN,0.188,0.125,0
57042,2016,10,MIN,0.688,0.625,WAS,0.563,0.75,0
57043,2016,10,MIA,0.375,0.375,SD,0.25,0.375,0
57044,2016,10,SF,0.313,0.125,ARI,0.813,0.75,1
57045,2016,10,DAL,0.25,0.375,PIT,0.625,0.75,0
57046,2016,10,SEA,0.625,0.625,NE,0.75,0.875,0
57047,2016,10,CIN,0.75,0.75,NYG,0.375,0.375,0
57048,2016,11,NO,0.438,0.375,CAR,0.938,1.0,1
57049,2016,11,BUF,0.5,0.375,CIN,0.75,0.75,0
57050,2016,11,PIT,0.625,0.5,CLE,0.188,0.25,1
57051,2016,11,BAL,0.313,0.25,DAL,0.25,0.125,0
57052,2016,11,JAX,0.313,0.125,DET,0.438,0.5,0
57053,2016,11,TEN,0.188,0.25,IND,0.5,0.5,1
57054,2016,11,TB,0.375,0.375,KC,0.688,0.75,0
57055,2016,11,ARI,0.813,0.875,MIN,0.688,0.75,0
57056,2016,11,CHI,0.375,0.625,NYG,0.375,0.375,0
57057,2016,11,MIA,0.375,0.375,LA,0.438,0.625,0
57058,2016,11,NE,0.75,0.625,SF,0.313,0.5,0
57059,2016,11,PHI,0.438,0.5,SEA,0.625,0.625,0
57060,2016,11,GB,0.625,0.625,WAS,0.563,0.75,0
57061,2016,11,HOU,0.563,0.5,OAK,0.438,0.375,0
57062,2016,12,MIN,0.688,0.625,DET,0.438,0.5,1
57063,2016,12,WAS,0.563,0.375,DAL,0.25,0.125,1
57064,2016,12,PIT,0.625,0.5,IND,0.5,0.5,0
57065,2016,12,ARI,0.813,0.875,ATL,0.5,0.5,0
57066,2016,12,CIN,0.75,0.75,BAL,0.313,0.375,1
57067,2016,12,JAX,0.313,0.125,BUF,0.5,0.625,0
57068,2016,12,TEN,0.188,0.25,CHI,0.375,0.125,0
57069,2016,12,NYG,0.375,0.375,CLE,0.188,0.25,0
57070,2016,12,SD,0.25,0.125,HOU,0.563,0.625,0
57071,2016,12,SF,0.313,0.125,MIA,0.375,0.375,0
57072,2016,12,LA,0.438,0.25,NO,0.438,0.5,0
57073,2016,12,SEA,0.625,0.625,TB,0.375,0.375,0
57074,2016,12,KC,0.688,0.625,DEN,0.75,0.75,1
57075,2016,12,CAR,0.938,0.875,OAK,0.438,0.375,0
57076,2016,12,NE,0.75,0.625,NYJ,0.625,0.75,1
