gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag,away_record,away_wpct,away_a_wpct,home_record,home_wpct,home_h_wpct,result,matchup_weight,home_season_pt_dif,home_3game_pt_dif,home_5game_pt_dif,home_prev_season_pt_dif,away_season_pt_dif,away_3game_pt_dif,away_5game_pt_dif,away_prev_season_pt_dif
56901,2016,1,CAR,0.938,0.875,DEN,0.75,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,3.6875,0.0,0.0,0.0,12.0
56902,2016,1,TB,0.375,0.375,ATL,0.5,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.2,0.0,0.0,0.0,-0.375,0.0,0.0,0.0,-4.6875
56903,2016,1,BUF,0.5,0.375,BAL,0.313,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-4.5625,0.0,0.0,0.0,1.25
56904,2016,1,CHI,0.375,0.625,HOU,0.563,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,1.625,0.0,0.0,0.0,-3.875
56905,2016,1,GB,0.625,0.625,JAX,0.313,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-4.5,0.0,0.0,0.0,2.8125
56906,2016,1,SD,0.25,0.125,KC,0.688,0.75,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,7.375,0.0,0.0,0.0,-4.875
56907,2016,1,OAK,0.43799999999999994,0.5,NO,0.43799999999999994,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-4.25,0.0,0.0,0.0,-2.5
56908,2016,1,CIN,0.75,0.75,NYJ,0.625,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,4.5625,0.0,0.0,0.0,8.75
56909,2016,1,CLE,0.188,0.125,PHI,0.43799999999999994,0.375,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,-3.3125,0.0,0.0,0.0,-9.625
56910,2016,1,MIN,0.688,0.625,TEN,0.188,0.125,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-7.75,0.0,0.0,0.0,3.9375
56911,2016,1,MIA,0.375,0.375,SEA,0.625,0.625,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,0.0,0.0,0.0,0.0,9.125,0.0,0.0,0.0,-4.9375
56912,2016,1,NYG,0.375,0.375,DAL,0.25,0.125,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.2,0.0,0.0,0.0,-6.1875,0.0,0.0,0.0,-1.375
56913,2016,1,DET,0.43799999999999994,0.375,IND,0.5,0.5,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,-4.6875,0.0,0.0,0.0,-2.625
56914,2016,1,NE,0.75,0.625,ARI,0.813,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,9.375
56915,2016,1,PIT,0.625,0.5,WAS,0.563,0.75,0,0-0-0,0.0,0.0,0-0-0,0.0,0.0,loss,0.0,0.0,0.0,0.0,0.5625,0.0,0.0,0.0,6.5
56916,2016,1,LA,0.43799999999999994,0.25,SF,0.313,0.5,1,0-0-0,0.0,0.0,0-0-0,0.0,0.0,win,1.0,0.0,0.0,0.0,-9.3125,0.0,0.0,0.0,-3.125
56917,2016,2,NYJ,0.625,0.5,BUF,0.5,0.625,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,loss,0.6000000000000001,-6.0,-6.0,-6.0,1.25,-1.0,-1.0,-1.0,4.5625
56918,2016,2,SF,0.313,0.125,CAR,0.938,1.0,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,0.0,-1.0,-1.0,-1.0,12.0,28.0,28.0,28.0,-9.3125
56919,2016,2,BAL,0.313,0.25,CLE,0.188,0.25,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,-0.6000000000000001,-19.0,-19.0,-19.0,-9.625,6.0,6.0,6.0,-4.5625
56920,2016,2,TEN,0.188,0.25,DET,0.43799999999999994,0.5,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,loss,0.0,4.0,4.0,4.0,-2.625,-9.0,-9.0,-9.0,-7.75
56921,2016,2,KC,0.688,0.625,HOU,0.563,0.625,0,1-0-0,1.0,0.0,1-0-0,1.0,1.0,win,-1.0,9.0,9.0,9.0,1.625,6.0,6.0,6.0,7.375
56922,2016,2,MIA,0.375,0.375,NE,0.75,0.875,1,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,0.2,2.0,2.0,2.0,9.375,-2.0,-2.0,-2.0,-4.9375
56923,2016,2,NO,0.43799999999999994,0.375,NYG,0.375,0.375,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,win,-1.0,1.0,1.0,1.0,-1.375,-1.0,-1.0,-1.0,-4.25
56924,2016,2,CIN,0.75,0.75,PIT,0.625,0.75,1,1-0-0,1.0,1.0,1-0-0,1.0,0.0,win,0.6659999999999999,22.0,22.0,22.0,6.5,1.0,1.0,1.0,8.75
56925,2016,2,DAL,0.25,0.375,WAS,0.563,0.75,1,0-1-0,0.0,0.0,0-1-0,0.0,0.0,loss,-0.2,-22.0,-22.0,-22.0,0.5625,-1.0,-1.0,-1.0,-6.1875
56926,2016,2,TB,0.375,0.375,ARI,0.813,0.75,0,1-0-0,1.0,1.0,0-1-0,0.0,0.0,win,0.0,-2.0,-2.0,-2.0,11.0,7.0,7.0,7.0,-4.6875
56927,2016,2,SEA,0.625,0.625,LA,0.43799999999999994,0.625,1,1-0-0,1.0,0.0,0-1-0,0.0,0.0,win,-1.0,-28.0,-28.0,-28.0,-3.125,2.0,2.0,2.0,9.125
56928,2016,2,IND,0.5,0.5,DEN,0.75,0.75,0,0-1-0,0.0,0.0,1-0-0,1.0,1.0,win,-0.33399999999999996,1.0,1.0,1.0,3.6875,-4.0,-4.0,-4.0,-4.6875
56929,2016,2,ATL,0.5,0.5,OAK,0.43799999999999994,0.375,0,0-1-0,0.0,0.0,1-0-0,1.0,0.0,loss,0.0,1.0,1.0,1.0,-2.5,-7.0,-7.0,-7.0,-0.375
56930,2016,2,JAX,0.313,0.125,SD,0.25,0.375,0,0-1-0,0.0,0.0,0-1-0,0.0,0.0,win,0.0,-6.0,-6.0,-6.0,-4.875,4.0,4.0,4.0,-4.5
56931,2016,2,GB,0.625,0.625,MIN,0.688,0.75,1,1-0-0,1.0,1.0,1-0-0,1.0,0.0,win,-0.6000000000000001,9.0,9.0,9.0,3.9375,4.0,4.0,4.0,2.8125
56932,2016,2,PHI,0.43799999999999994,0.5,CHI,0.375,0.125,0,1-0-0,1.0,0.0,0-1-0,0.0,0.0,loss,0.0,-9.0,-9.0,-9.0,-3.875,19.0,19.0,19.0,-3.3125
56933,2016,3,HOU,0.563,0.5,NE,0.75,0.875,0,2-0-0,1.0,0.0,2-0-0,1.0,1.0,win,1.0,4.5,4.5,4.5,9.375,8.0,8.0,8.0,1.625
56934,2016,3,ARI,0.813,0.875,BUF,0.5,0.625,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,0.0,-6.0,-6.0,-6.0,1.25,15.5,15.5,15.5,11.0
56935,2016,3,MIN,0.688,0.625,CAR,0.938,1.0,0,2-0-0,1.0,1.0,1-1-0,0.5,1.0,loss,-1.0,9.0,9.0,9.0,12.0,6.0,6.0,6.0,3.9375
56936,2016,3,DEN,0.75,0.75,CIN,0.75,0.75,0,2-0-0,1.0,0.0,1-1-0,0.5,0.0,loss,0.0,-3.5,-3.5,-3.5,8.75,7.5,7.5,7.5,3.6875
56937,2016,3,DET,0.43799999999999994,0.375,GB,0.625,0.625,1,1-1-0,0.5,1.0,1-1-0,0.5,0.0,win,0.2,0.5,0.5,0.5,2.8125,1.5,1.5,1.5,-2.625
56938,2016,3,BAL,0.313,0.25,JAX,0.313,0.5,0,2-0-0,1.0,1.0,0-2-0,0.0,0.0,loss,0.0,-10.0,-10.0,-10.0,-4.5,5.5,5.5,5.5,-4.5625
56939,2016,3,CLE,0.188,0.125,MIA,0.375,0.375,0,0-2-0,0.0,0.0,0-2-0,0.0,0.0,win,0.0,-4.5,-4.5,-4.5,-4.9375,-12.0,-12.0,-12.0,-9.625
56940,2016,3,WAS,0.563,0.375,NYG,0.375,0.375,1,0-2-0,0.0,0.0,2-0-0,1.0,1.0,loss,0.6000000000000001,2.0,2.0,2.0,-1.375,-13.0,-13.0,-13.0,0.5625
56941,2016,3,OAK,0.43799999999999994,0.5,TEN,0.188,0.125,0,1-1-0,0.5,1.0,1-1-0,0.5,0.0,loss,-1.0,-4.0,-4.0,-4.0,-7.75,-3.0,-3.0,-3.0,-2.5
56942,2016,3,SF,0.313,0.125,SEA,0.625,0.625,1,1-1-0,0.5,0.0,1-1-0,0.5,1.0,win,1.0,-2.0,-2.0,-2.0,9.125,4.5,4.5,4.5,-9.3125
56943,2016,3,LA,0.43799999999999994,0.25,TB,0.375,0.375,0,1-1-0,0.5,0.0,1-1-0,0.5,0.0,loss,0.0,-13.0,-13.0,-13.0,-4.6875,-11.0,-11.0,-11.0,-3.125
56946,2016,3,PIT,0.625,0.5,PHI,0.43799999999999994,0.375,0,2-0-0,1.0,1.0,2-0-0,1.0,1.0,win,0.0,17.0,17.0,17.0,-3.3125,15.0,15.0,15.0,6.5
56944,2016,3,SD,0.25,0.125,IND,0.5,0.5,0,1-1-0,0.5,0.0,0-2-0,0.0,0.0,win,0.0,-9.0,-9.0,-9.0,-4.6875,9.0,9.0,9.0,-4.875
56945,2016,3,NYJ,0.625,0.5,KC,0.688,0.75,0,1-1-0,0.5,1.0,1-1-0,0.5,1.0,win,1.0,-0.5,-0.5,-0.5,7.375,2.5,2.5,2.5,4.5625
56947,2016,3,CHI,0.375,0.625,DAL,0.25,0.125,0,0-2-0,0.0,0.0,1-1-0,0.5,0.0,win,1.0,1.5,1.5,1.5,-6.1875,-12.0,-12.0,-12.0,-3.875
56948,2016,3,ATL,0.5,0.5,NO,0.43799999999999994,0.5,1,1-1-0,0.5,1.0,0-2-0,0.0,0.0,loss,-0.2,-2.0,-2.0,-2.0,-4.25,0.0,0.0,0.0,-0.375
56949,2016,4,MIA,0.375,0.375,CIN,0.75,0.75,0,1-2-0,0.33299999999999996,0.0,1-2-0,0.33299999999999996,0.0,win,0.0,-6.332999999999999,-6.332999999999999,-6.332999999999999,8.75,-1.0,-1.0,-1.0,-4.9375
