gamekey,year,week,away,away_prev_wpct,away_prev_a_wpct,home,home_prev_wpct,home_prev_h_wpct,div_flag
57234,2017,1,KC,0.75,0.75,NE,0.875,0.75,0
57235,2017,1,NYJ,0.313,0.375,BUF,0.438,0.5,1
57236,2017,1,ATL,0.688,0.75,CHI,0.188,0.375,0
57237,2017,1,BAL,0.5,0.25,CIN,0.406,0.563,1
57238,2017,1,PIT,0.688,0.625,CLE,0.063,0.125,1
57239,2017,1,ARI,0.469,0.375,DET,0.563,0.75,0
57240,2017,1,JAX,0.188,0.125,HOU,0.563,0.875,1
57241,2017,1,TB,0.563,0.625,MIA,0.625,0.75,0
57242,2017,1,OAK,0.75,0.75,TEN,0.563,0.625,0
57243,2017,1,PHI,0.438,0.125,WAS,0.531,0.5,1
57244,2017,1,IND,0.5,0.5,LA,0.25,0.125,0
57245,2017,1,SEA,0.656,0.438,GB,0.625,0.75,0
57246,2017,1,CAR,0.375,0.25,SF,0.125,0.125,0
57247,2017,1,NYG,0.688,0.5,DAL,0.813,0.875,1
57248,2017,1,NO,0.438,0.375,MIN,0.5,0.625,0
57249,2017,1,LAC,0.313,0.25,DEN,0.563,0.625,1
57250,2017,2,HOU,0.563,0.25,CIN,0.406,0.563,0
57251,2017,2,CLE,0.063,0.0,BAL,0.5,0.75,1
57252,2017,2,BUF,0.438,0.375,CAR,0.375,0.5,0
57253,2017,2,ARI,0.469,0.375,IND,0.5,0.5,0
57254,2017,2,TEN,0.563,0.5,JAX,0.188,0.25,1
57255,2017,2,PHI,0.438,0.125,KC,0.75,0.75,0
57256,2017,2,NE,0.875,1.0,NO,0.438,0.5,0
57257,2017,2,MIN,0.5,0.375,PIT,0.688,0.75,0
57258,2017,2,CHI,0.188,0.0,TB,0.563,0.5,0
57259,2017,2,MIA,0.625,0.5,LAC,0.313,0.375,0
57260,2017,2,NYJ,0.313,0.375,OAK,0.75,0.75,0
57261,2017,2,DAL,0.813,0.75,DEN,0.563,0.625,0
57262,2017,2,WAS,0.531,0.563,LA,0.25,0.125,0
57263,2017,2,SF,0.125,0.125,SEA,0.656,0.875,1
57264,2017,2,GB,0.625,0.5,ATL,0.688,0.625,0
57265,2017,2,DET,0.563,0.375,NYG,0.688,0.875,0
57266,2017,3,LA,0.25,0.375,SF,0.125,0.125,1
57267,2017,3,BAL,0.5,0.25,JAX,0.188,0.25,0
57268,2017,3,DEN,0.563,0.5,BUF,0.438,0.5,0
57269,2017,3,NO,0.438,0.375,CAR,0.375,0.5,1
57270,2017,3,PIT,0.688,0.625,CHI,0.188,0.375,0
57271,2017,3,ATL,0.688,0.75,DET,0.563,0.75,0
57272,2017,3,CLE,0.063,0.0,IND,0.5,0.5,0
57273,2017,3,TB,0.563,0.625,MIN,0.5,0.625,0
57274,2017,3,HOU,0.563,0.25,NE,0.875,0.75,0
57275,2017,3,MIA,0.625,0.5,NYJ,0.313,0.25,1
57276,2017,3,NYG,0.688,0.5,PHI,0.438,0.75,1
57277,2017,3,SEA,0.656,0.438,TEN,0.563,0.625,0
57278,2017,3,CIN,0.406,0.25,GB,0.625,0.75,0
57279,2017,3,KC,0.75,0.75,LAC,0.313,0.375,1
57280,2017,3,OAK,0.75,0.75,WAS,0.531,0.5,0
57281,2017,3,DAL,0.813,0.75,ARI,0.469,0.563,0
57282,2017,4,CHI,0.188,0.0,GB,0.625,0.75,1
57283,2017,4,NO,0.438,0.375,MIA,0.625,0.75,0
57284,2017,4,BUF,0.438,0.375,ATL,0.688,0.625,0
57285,2017,4,PIT,0.688,0.625,BAL,0.5,0.75,1
57286,2017,4,CIN,0.406,0.25,CLE,0.063,0.125,1
57287,2017,4,LA,0.25,0.375,DAL,0.813,0.875,0
57288,2017,4,TEN,0.563,0.5,HOU,0.563,0.875,1
57289,2017,4,DET,0.563,0.375,MIN,0.5,0.625,1
57290,2017,4,CAR,0.375,0.25,NE,0.875,0.75,0
57291,2017,4,JAX,0.188,0.125,NYJ,0.313,0.25,0
57292,2017,4,SF,0.125,0.125,ARI,0.469,0.563,1
57293,2017,4,PHI,0.438,0.125,LAC,0.313,0.375,0
57294,2017,4,NYG,0.688,0.5,TB,0.563,0.5,0
57295,2017,4,OAK,0.75,0.75,DEN,0.563,0.625,1
