gamekey,year,week,away,away_record,away_wpct,away_a_wpct,away_prev_wpct,away_prev_a_wpct,home,home_record,home_wpct,home_h_wpct,home_prev_wpct,home_prev_h_wpct,result
57567,2018,1,ATL,0-0-0,0,0,0.625,0.625,PHI,0-0-0,0,0,0.813,0.875,win
57568,2018,1,BUF,0-0-0,0,0,0.563,0.375,BAL,0-0-0,0,0,0.563,0.625,win
57569,2018,1,PIT,0-0-0,0,0,0.813,0.875,CLE,0-0-0,0,0,0.0,0.0,tie
57570,2018,1,CIN,0-0-0,0,0,0.438,0.375,IND,0-0-0,0,0,0.25,0.375,loss
57571,2018,1,TEN,0-0-0,0,0,0.563,0.375,MIA,0-0-0,0,0,0.375,0.5,win
57572,2018,1,SF,0-0-0,0,0,0.375,0.375,MIN,0-0-0,0,0,0.813,0.875,win
57573,2018,1,HOU,0-0-0,0,0,0.25,0.125,NE,0-0-0,0,0,0.813,0.75,win
57574,2018,1,TB,0-0-0,0,0,0.313,0.125,NO,0-0-0,0,0,0.688,0.875,loss
57575,2018,1,JAX,0-0-0,0,0,0.625,0.5,NYG,0-0-0,0,0,0.188,0.25,loss
57576,2018,1,KC,0-0-0,0,0,0.625,0.5,LAC,0-0-0,0,0,0.563,0.625,loss
57577,2018,1,WAS,0-0-0,0,0,0.438,0.25,ARI,0-0-0,0,0,0.5,0.625,loss
57578,2018,1,DAL,0-0-0,0,0,0.563,0.75,CAR,0-0-0,0,0,0.688,0.75,win
57579,2018,1,SEA,0-0-0,0,0,0.563,0.625,DEN,0-0-0,0,0,0.313,0.5,win
57580,2018,1,CHI,0-0-0,0,0,0.313,0.25,GB,0-0-0,0,0,0.438,0.5,win
57581,2018,1,NYJ,0-0-0,0,0,0.313,0.125,DET,0-0-0,0,0,0.563,0.5,loss
57582,2018,1,LA,0-0-0,0,0,0.688,0.875,OAK,0-0-0,0,0,0.375,0.5,loss
57583,2018,2,BAL,1-0-0,1.0,0,0.563,0.5,CIN,1-0-0,1.0,0,0.438,0.5,win
57584,2018,2,CAR,1-0-0,1.0,0,0.688,0.625,ATL,0-1-0,0.0,0,0.625,0.625,win
57585,2018,2,LAC,0-1-0,0.0,0,0.563,0.5,BUF,0-1-0,0.0,0,0.563,0.75,loss
57586,2018,2,MIN,1-0-0,1.0,0,0.813,0.75,GB,1-0-0,1.0,1.0,0.438,0.5,tie
57587,2018,2,CLE,0-0-1,0.5,0,0.0,0.0,NO,0-1-0,0.0,0.0,0.688,0.875,win
57588,2018,2,MIA,1-0-0,1.0,0,0.375,0.25,NYJ,1-0-0,1.0,0,0.313,0.5,loss
57589,2018,2,KC,1-0-0,1.0,1.0,0.625,0.5,PIT,0-0-1,0.5,0,0.813,0.75,loss
57590,2018,2,PHI,1-0-0,1.0,0,0.813,0.75,TB,1-0-0,1.0,0,0.313,0.5,win
57591,2018,2,HOU,0-1-0,0.0,0.0,0.25,0.125,TEN,0-1-0,0.0,0,0.563,0.75,win
57592,2018,2,IND,0-1-0,0.0,0,0.25,0.125,WAS,1-0-0,1.0,0,0.438,0.625,loss
57593,2018,2,ARI,0-1-0,0.0,0,0.5,0.375,LA,1-0-0,1.0,0,0.688,0.5,win
57594,2018,2,DET,0-1-0,0.0,0,0.563,0.625,SF,0-1-0,0.0,0,0.375,0.375,win
57595,2018,2,OAK,0-1-0,0.0,0,0.375,0.25,DEN,1-0-0,1.0,1.0,0.313,0.5,win
